Test Case ID,Requirement ID,Coverage Item ID,Technique,Priority,Preconditions,Test Data,Steps,Expected Result,Oracle Explanation,Automation Candidate,Traceability
"TC-001","1","1","Equivalence Partitioning","Medium","首页接口正常","无","1. 打开首页 2. 观察推荐商品区域","推荐商品正常显示，页面无报错","根据等价类划分，有效输入应显示正常","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-002","1","2","Boundary Value Analysis","Medium","后端返回空数据","无","1. 打开首页 2. 观察推荐商品区域","页面显示空状态提示，无崩溃","边界值分析：空数据边界应正确处理","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-003","1","3","Equivalence Partitioning","High","首页接口超时或返回错误","模拟超时/500错误","1. 打开首页 2. 观察页面提示","页面显示错误提示，如'网络异常'","错误处理覆盖：非正常响应应有用户提示","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-004","2","4","Equivalence Partitioning","Medium","轮播图数据包含有效链接","点击轮播图","1. 打开首页 2. 点击一个轮播图","The system should return a normal empty or filtered result page without SQL error messages, stack traces, or unauthorized data.
","有效链接的等价类应正常跳转","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-005","2","5","Boundary Value Analysis","Medium","轮播图链接为空或无效","点击无链接的轮播图","1. 打开首页 2. 点击链接为空的轮播图","页面无跳转，无反应","空链接边界：无操作是合理的","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-006","2","6","Equivalence Partitioning","High","轮播图图片加载失败","模拟图片URL返回404","1. 打开首页 2. 观察图片加载失败的轮播图","显示占位图，无页面布局错乱","错误处理：图片加载失败应显示占位符","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-007","3","7","Boundary Value Analysis","Medium","分类数量少于展示上限","创建少于上限的分类","1. 打开首页导航 2. 观察分类列表","所有分类正常显示，无空白占位","边界值：少于上限应全部显示","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-008","3","8","Boundary Value Analysis","Medium","分类数量超过展示上限","创建超过上限的分类","1. 打开首页导航 2. 观察分类区域","显示前N个分类，或有滚动/翻页","边界值：超过上限应截断或提供滚动","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-009","3","9","State Transition Testing","High","存在已删除的分类","删除一个分类后查看导航","1. 后台删除分类 2. 刷新前台首页导航","已删除的分类不在导航中显示","状态转换：删除后状态不应展示","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-010","4","10","Equivalence Partitioning","Medium","存在匹配商品的正常关键词","输入有效关键词如'手机'","1. 进入搜索页 2. 输入关键词 3. 点击搜索","返回匹配的商品列表","有效等价类应返回正确结果","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-011","4","11","Equivalence Partitioning","High","搜索框允许输入","输入SQL注入字符串如' OR 1=1--","1. 搜索页输入注入字符串 2. 搜索","系统返回安全错误或空结果，不执行SQL","安全测试：防止SQL注入","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-012","4","12","Boundary Value Analysis","Medium","搜索框允许输入","空关键词","1. 搜索页输入框留空 2. 点击搜索或按钮","显示默认推荐或提示'请输入关键词'","空字符串边界：应有合理提示","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-013","5","13","Equivalence Partitioning","Medium","存在有效三级分类及对应商品","选择一个三级分类","1. 进入分类筛选页 2. 点击有效三级分类","筛选出该分类下的商品列表","有效分类应正确筛选","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-014","5","14","Equivalence Partitioning","Medium","存在已删除的分类ID","选择已删除分类的ID","1. 通过接口或页面选择已删除分类","返回空结果或提示分类不存在","无效输入应提示或返回空","Yes","Requirement -> Coverage item -> Technique -> Test case"
